0,"",,,,,100001,,,,,,,,,
406,25056,8532,,,,54,0,91,46.0925925925925926,23.8812064093658499,45,16,27,65,77
406,25297,0,,,,11,19,72,46.9090909090909091,19.6847887743533863,45,27,28,68,71
406,25297,8507,,,,226,1,98,47.1592920353982301,24.0653061006665928,51,8,29,65,77
406,25297,8532,,,,233,0,99,44.1931330472103004,24.9908870470882963,45,10,24,62,76
406,25572,0,,,,11,3,87,51.2727272727272727,24.5686422461271111,57,28,32,66,77
406,25572,8507,,,,293,0,98,44.1194539249146758,24.9109935510565450,44,9,25,63,76
406,25572,8532,,,,309,0,99,43.1553398058252427,23.2747943264672461,42,13,24,61,77
406,25844,0,,,,7,5,99,52.0000000000000000,30.2103734943258632,48,5,32,75,99
406,25844,8507,,,,87,1,90,39.5287356321839080,25.1714304092536948,40,6,14,59,73
406,25844,8532,,,,104,1,96,45.0288461538461538,26.3941214147706566,43,13,25,62,86
406,26378,8507,,,,24,0,99,47.5000000000000000,29.5016580226765648,45,7,21,68,89
406,26378,8532,,,,32,5,97,45.3750000000000000,25.5516554605409774,43,15,26,62,75
406,26662,8507,,,,9,1,76,30.6666666666666667,22.8582589013249213,30,1,19,40,76
406,26662,8532,,,,7,23,97,59.4285714285714286,26.0439189502216483,63,23,34,79,97
406,26711,8507,,,,86,3,98,46.5348837209302326,25.0790269416351416,45,12,26,68,79
406,26711,8532,,,,85,4,97,49.6000000000000000,23.3682731599104361,53,16,31,67,78
406,26719,8507,,,,84,3,93,42.0595238095238095,21.9755346936477392,42,16,24,56,71
406,26719,8532,,,,89,0,97,43.7752808988764045,23.9477427333448676,48,11,24,61,76
406,26727,8507,,,,127,0,96,44.3543307086614173,25.8135953963524650,45,8,22,63,79
406,26727,8532,,,,133,0,99,42.1879699248120301,26.7213880899483604,37,6,20,64,80
406,26935,8507,,,,29,0,98,48.8275862068965517,27.9183362243695642,45,4,30,67,92
406,26935,8532,,,,32,3,96,49.0000000000000000,20.7053055379377302,54,23,33,64,72
